"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-30 14:55:30","SELL","NIFTY26APR22400CE","NRML","65/65",765.4,"COMPLETE",""
"2026-03-30 14:55:26","BUY","NIFTY26APR22000PE","NRML","65/65",549.95,"COMPLETE",""
"2026-03-30 14:55:20","SELL","NIFTY26APR22400CE","NRML","0/65",0,"REJECTED",""
"2026-03-30 14:55:04","BUY","NIFTY26APR22700CE","NRML","65/65",609.95,"COMPLETE",""
"2026-03-30 14:39:17","BUY","ATHERENERG","CNC","10/10",748.9,"COMPLETE",""
"2026-03-30 14:10:10","BUY","BANKNIFTY26APR50500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 14:03:39","SELL","NIFTY26APR22000PE","NRML","65/65",502,"COMPLETE",""
"2026-03-30 14:02:04","SELL","NIFTY26APR22400PE","NRML","65/65",669,"COMPLETE",""
"2026-03-30 14:01:57","BUY","NIFTY26APR22300PE","NRML","65/65",633,"COMPLETE",""
"2026-03-30 14:01:51","SELL","NIFTY26APR22400PE","NRML","65/65",671.3,"COMPLETE",""
"2026-03-30 14:01:44","BUY","NIFTY26APR22300PE","NRML","65/65",635.65,"COMPLETE",""
"2026-03-30 14:01:37","SELL","NIFTY26APR22400PE","NRML","65/65",675,"COMPLETE",""
"2026-03-30 14:01:30","BUY","NIFTY26APR22300PE","NRML","65/65",636.75,"COMPLETE",""
"2026-03-30 14:01:24","SELL","NIFTY26APR22400PE","NRML","65/65",675.95,"COMPLETE",""
"2026-03-30 14:01:17","BUY","NIFTY26APR22300PE","NRML","65/65",635.55,"COMPLETE",""
"2026-03-30 13:39:05","SELL","NIFTY26MAY24000CE","NRML","65/65",355,"COMPLETE",""
"2026-03-30 13:38:49","BUY","NIFTY26MAY24500CE","NRML","65/65",221,"COMPLETE",""
"2026-03-30 13:37:37","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-03-30 13:37:20","SELL","NIFTY26APR23500CE","NRML","65/65",334.35,"COMPLETE",""
"2026-03-30 13:37:07","BUY","NIFTY26APR22500CE","NRML","65/65",792.95,"COMPLETE",""
"2026-03-30 13:36:55","BUY","NIFTY26APR21000PE","NRML","65/65",251.7,"COMPLETE",""
"2026-03-30 13:36:29","BUY","NIFTY26APR23500CE","NRML","65/65",336.75,"COMPLETE",""
"2026-03-30 13:36:07","BUY","NIFTY26APR22500CE","NRML","0/65",0,"REJECTED",""
"2026-03-30 13:34:33","SELL","NIFTY26MAYFUT","NRML","65/65",22709.7,"COMPLETE",""
"2026-03-30 13:34:20","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
